fecha,tipo_movimiento,bucket,display_name,producto_fuente,producto_sku,cantidad_planchas,detalle,detalle_original,origen
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,100.0,Pedido 7451 · SUPERMERCADO VILLA SOFIA S.A.,Pedido 7451 · SUPERMERCADO VILLA SOFIA S.A.,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,20.0,Pedido 7452 · SUPERMERCADO VILLA SOFIA S.A.,Pedido 7452 · SUPERMERCADO VILLA SOFIA S.A.,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,40.0,Pedido 7453 · CEBRE S.A.,Pedido 7453 · CEBRE S.A.,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,PLANCHA 12 HUEVOS TIPO A  COD.7848000130036,PLANCHA 12 HUEVOS TIPO A COD.7848000130036,20.0,Pedido 7453 · CEBRE S.A.,Pedido 7453 · CEBRE S.A.,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,PLANCHA 6 HUEVOS TIPO A COD. 7848000130043,PLANCHA 6 HUEVOS TIPO A COD. 7848000130043,12.0,Pedido 7453 · CEBRE S.A.,Pedido 7453 · CEBRE S.A.,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,PLANCHAS 30 TIPO A GRANEL,PLANCHAS 30 TIPO A GRANEL,100.0,Pedido 7454 · SUPERMERCADO VILLA SOFIA S.A.,Pedido 7454 · SUPERMERCADO VILLA SOFIA S.A.,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,PLANCHAS 30 TIPO A GRANEL,PLANCHAS 30 TIPO A GRANEL,100.0,Pedido 7455 · SUPERMERCADO VILLA SOFIA S.A.,Pedido 7455 · SUPERMERCADO VILLA SOFIA S.A.,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,30.0,Pedido 7457 · CAFSA S.A.,Pedido 7457 · CAFSA S.A.,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,PLANCHAS 20 HUEVOS TIPO A COD.7848000130074,PLANCHAS 20 HUEVOS TIPO A COD.7848000130074,20.0,Pedido 7457 · CAFSA S.A.,Pedido 7457 · CAFSA S.A.,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,PLANCHA 12 HUEVOS TIPO A  COD.7848000130036,PLANCHA 12 HUEVOS TIPO A COD.7848000130036,20.0,Pedido 7457 · CAFSA S.A.,Pedido 7457 · CAFSA S.A.,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,PLANCHA 6 HUEVOS TIPO A COD. 7848000130043,PLANCHA 6 HUEVOS TIPO A COD. 7848000130043,2.0,Pedido 7457 · CAFSA S.A.,Pedido 7457 · CAFSA S.A.,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,30.0,Pedido 7458 · CAFSA S.A.,Pedido 7458 · CAFSA S.A.,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,PLANCHAS 20 HUEVOS TIPO A COD.7848000130074,PLANCHAS 20 HUEVOS TIPO A COD.7848000130074,20.0,Pedido 7458 · CAFSA S.A.,Pedido 7458 · CAFSA S.A.,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,PLANCHA 12 HUEVOS TIPO A  COD.7848000130036,PLANCHA 12 HUEVOS TIPO A COD.7848000130036,20.0,Pedido 7458 · CAFSA S.A.,Pedido 7458 · CAFSA S.A.,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,PLANCHA 12 HUEVOS TIPO A  COD.7848000130036,PLANCHA 12 HUEVOS TIPO A COD.7848000130036,6.0,Pedido 7459 · DELIVERY HERO DMART PARAGUAY S.A,Pedido 7459 · DELIVERY HERO DMART PARAGUAY S.A,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,PLANCHAS 20 HUEVOS TIPO A COD.7848000130074,PLANCHAS 20 HUEVOS TIPO A COD.7848000130074,5.3333,Pedido 7459 · DELIVERY HERO DMART PARAGUAY S.A,Pedido 7459 · DELIVERY HERO DMART PARAGUAY S.A,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,15.0,Pedido 7459 · DELIVERY HERO DMART PARAGUAY S.A,Pedido 7459 · DELIVERY HERO DMART PARAGUAY S.A,ERP Pedidos
2026-05-11,salida,SUPER,PLANCHA 30 SUPER,PLANCHAS 30 SUPER EMPAQUETADO,PLANCHAS 30 SUPER EMPAQUETADO,2.0,Pedido 7460 · REPARTO,Pedido 7460 · CAROLINA CRISTINA CARLSTEIN RAMIREZ,ERP Pedidos
